"","Start.Date","End.Date","Response.Type","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","Distribution.Channel","User.Language","Do.you.know.what.Agent.Based.Modeling.is.","What.is.your.experience.with.Agent.Based.Modeling.","How.do.you.judge.the.available.theory.on.Agent.Based.Modelling.","Which.software.do.you.know.for.Agent.Based.Modeling....Selected.Choice","Which.software.do.you.know.for.Agent.Based.Modeling....Other....Text","Have.you.ever.applied.Agent.Based.Modelling.","What.did.you.use.Agent.Based.Modelling.for.","Which.computer.skills.do.you.have....Selected.Choice","Which.computer.skills.do.you.have....Other..please.describe....Text","Do.you.have.any.previous.programming.coding.experience.","With.which.programming.languages.have.you.worked.before....Selected.Choice","With.which.programming.languages.have.you.worked.before....Other..please.describe...Text","What.is.your.age.","What.is.your.gender....Selected.Choice","What.is.your.gender....Prefer.to.self.describe.below....Text","What.is.you.highest.educational.grade.obtained.","What.is.you.nationality....Selected.Choice","What.is.you.nationality....Nationality...Text","Which.of.the.option.below.applies.to.you.","What.is.the.best.description.of.your.job...Selected.Choice","What.is.the.best.description.of.your.job...Different..please.describe....Text","What.kind.of.organisation.do.you.work....Selected.Choice","What.kind.of.organisation.do.you.work....Different..please.describe....Text","Workshop"
"1","2023-03-31 11:28:10","2023-03-31 11:29:31","IP Address",100,81,"True","2023-03-31 11:29:32","R_2E49O25LKOmjmxn","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet","","Less than 1 year","None","","20 years or younger","Non-binary",NA,"High school","Nationality","American","Student","","","","","202304_CAA"
"2","2023-03-31 11:31:20","2023-03-31 11:33:51","IP Address",100,150,"True","2023-03-31 11:33:51","R_1j9As6hWozJQH1H","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,Python",NA,"Yes","To build toy models frente m Complex Systems Theory ","Programming/coding","","1-2 years","NetLogo,Python","","31-40 years","Male",NA,"Master","Nationality","Colombian","Student","","","","","202304_CAA"
"3","2023-03-31 11:32:17","2023-03-31 11:36:04","IP Address",100,226,"True","2023-03-31 11:36:05","R_3pCQxTkhJHrP7EZ","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS","","No","","","41-50 years","Female",NA,"PhD","","","Working professionally","Research","","Government","","202304_CAA"
"4","2023-03-31 11:35:09","2023-03-31 11:42:12","IP Address",100,422,"True","2023-03-31 11:42:14","R_10vkBH0WXlWoDC4","anonymous","EN","Yes","Expert","No opinion","NetLogo,R,Python",NA,"Yes","evolutionary robotics, cooperation in psychology, archaeology, epidemiology, cultural evolution,...","Word processor,Email,Spreadsheet,Programming/coding","","More than 5 years","NetLogo,Python,Java,R,C,C++,Other, please describe","ADA,OCAML,BASH","31-40 years","Male",NA,"PhD","Nationality","French","Working professionally","Specialist","","University","","202304_CAA"
"5","2023-03-31 13:18:10","2023-03-31 13:19:22","IP Address",100,71,"True","2023-03-31 13:19:22","R_1eqq32RqbDqZXlx","anonymous","EN","Yes","Beginner","Sufficient","R",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","1-2 years","Python,R","","31-40 years","Male",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"6","2023-03-31 13:34:44","2023-03-31 13:37:16","IP Address",100,151,"True","2023-03-31 13:37:16","R_8hWpfggWYAXv0WZ","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding","","More than 5 years","R","","41-50 years","Male",NA,"PhD","Nationality","Argentinian/Venezuelan/Italian","Working professionally","Research","","University","","202304_CAA"
"7","2023-03-31 14:49:39","2023-03-31 14:52:17","IP Address",100,157,"True","2023-03-31 14:52:17","R_2E6NFybbiVvntQA","anonymous","EN","Yes","Experienced","Sufficient","NetLogo",NA,"Yes","To mimic the irrigation system.","Spreadsheet,Programming/coding","","1-2 years","NetLogo","","31-40 years","Female",NA,"Master","Nationality","Chinese","Student","","","","","202304_CAA"
"8","2023-03-31 16:08:41","2023-03-31 16:09:40","IP Address",100,59,"True","2023-03-31 16:09:41","R_2D20Tqmt7zeJ6z3","anonymous","EN","Yes","Beginner","No opinion","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,Programming/coding","","Less than 1 year","NetLogo,Python,R","","21-30 years","Female",NA,"Master","","","Student","","","","","202304_CAA"
"9","2023-03-31 16:08:45","2023-03-31 16:10:14","IP Address",100,88,"True","2023-03-31 16:10:15","R_2CyozsAYjpdBCPe","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","Less than 1 year","C++","","21-30 years","Male",NA,"High school","Prefer not to share","","Student","","","","","202304_CAA"
"10","2023-03-31 18:34:04","2023-03-31 18:40:37","IP Address",100,392,"True","2023-03-31 18:40:38","R_33j6dmO4AfFscid","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling","","No","","","31-40 years","Male",NA,"Master","Nationality","Indian","Student","","","","","202304_CAA"
"11","2023-03-31 18:55:18","2023-03-31 18:57:29","IP Address",100,131,"True","2023-03-31 18:57:30","R_1mOaKZIcUQ1OmEU","anonymous","EN","Yes","Beginner","No opinion","R,Python",NA,"No","","Word processor,Email,Spreadsheet,CAD,Programming/coding","","3-5 years","Python,Java,R,C++","","21-30 years","Female",NA,"Bachelor","Nationality","Romanian","Student","","","","","202304_CAA"
"12","2023-03-31 19:46:55","2023-03-31 19:48:56","IP Address",100,120,"True","2023-03-31 19:48:57","R_1EbL6ZnbHmP1czv","anonymous","EN","Yes","Beginner","More than sufficient","NetLogo,R",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","3-5 years","Python,R","","21-30 years","Male",NA,"Master","Prefer not to share","","Working professionally","Research","","University","","202304_CAA"
"13","2023-03-31 19:58:15","2023-03-31 20:05:15","IP Address",100,420,"True","2023-03-31 20:05:17","R_1OpgF0AY4DVKlee","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding,Other, please describe:","Arches project","More than 5 years","NetLogo,Python,Javascript / Typescript","","51-60 years","Male",NA,"Master","Nationality","Israeli","Working professionally","Specialist","","University","","202304_CAA"
"14","2023-03-31 21:50:51","2023-03-31 21:53:03","IP Address",100,131,"True","2023-03-31 21:53:04","R_3nPi0GrbA3MbjeX","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,R,Python",NA,"No","","Email,Spreadsheet,GIS,CAD,Other, please describe:","IÂ´m starting to use python","Less than 1 year","Python,R","","41-50 years","Male",NA,"PhD","Nationality","Colombian","Working professionally","Education","","University","","202304_CAA"
"15","2023-03-31 23:31:03","2023-03-31 23:32:46","IP Address",100,102,"True","2023-03-31 23:32:48","R_2Xd05x0XJU3I08a","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet","","No","","","21-30 years","Female",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"16","2023-04-01 06:44:22","2023-04-01 06:46:34","IP Address",100,131,"True","2023-04-01 06:46:34","R_26a2VoUIR04qv3f","anonymous","EN","Yes","Beginner","Limited","NetLogo,R",NA,"No","","Word processor,Email,Spreadsheet,3D modelling,Programming/coding","","Less than 1 year","R","","41-50 years","Male",NA,"PhD","Nationality","Greek","Working professionally","Research","","University","","202304_CAA"
"17","2023-04-01 11:13:47","2023-04-01 11:23:30","IP Address",100,583,"True","2023-04-01 11:23:31","R_cYMcIJ958OU6dYR","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","Less than 1 year","Python,Java","","31-40 years","Female",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"18","2023-04-01 13:52:40","2023-04-01 13:55:31","IP Address",100,171,"True","2023-04-01 13:55:32","R_WjuXUBpGYQfgd5D","anonymous","EN","Yes","Experienced","Sufficient","NetLogo,GAML,R,Python",NA,"Yes","PhD thesis, university curriculum","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","3-5 years","NetLogo,Python,R,GAML,Javascript / Typescript,Other, please describe","PHP","21-30 years","Female",NA,"Master","Nationality","German","Working professionally","Research","","University","","202304_CAA"
"19","2023-04-01 19:49:25","2023-04-01 19:52:09","IP Address",100,163,"True","2023-04-01 19:52:10","R_3fBmnXSf8U4Syqy","anonymous","EN","Yes","Beginner","Limited","NetLogo,R,Python",NA,"Yes","Just for practice at this level","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling","","Less than 1 year","NetLogo,Python,R","","41-50 years","Female",NA,"PhD","Nationality","Croatian","Working professionally","Education","","University","","202304_CAA"
"20","2023-04-01 23:03:55","2023-04-01 23:11:35","IP Address",100,459,"True","2023-04-01 23:11:35","R_7aqDyCzQsJYFCRX","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding","","3-5 years","Java,R,Other, please describe","C#, camos Develop","21-30 years","Female",NA,"High school","Nationality","German","Student","","","","","202304_CAA"
"21","2023-04-02 02:38:02","2023-04-02 02:40:01","IP Address",100,119,"True","2023-04-02 02:40:03","R_scezTTOmeugR0id","anonymous","EN","No","","","",NA,"","","Email,Spreadsheet,3D modelling","","No","","","21-30 years","Female",NA,"High school","Nationality","United States of America","Student","","","","","202304_CAA"
"22","2023-04-02 20:11:41","2023-04-02 20:26:07","IP Address",100,865,"True","2023-04-02 20:26:09","R_RfYvvfbo07iWImd","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Email,Spreadsheet,GIS","","Less than 1 year","Java","","31-40 years","Female",NA,"Master","Nationality","Indian","Student","","","","","202304_CAA"
"23","2023-04-02 22:06:11","2023-04-02 22:09:02","IP Address",100,171,"True","2023-04-02 22:09:03","R_1PT5yn8ZBe8r5AC","anonymous","EN","No","","","",NA,"","","Programming/coding","","More than 5 years","Python,Java,R","","Prefer not to share this","Female",NA,"PhD","Nationality","Dutch ","Working professionally","Research","","Government","","202304_CAA"
"24","2023-04-03 03:02:59","2023-04-03 03:03:45","IP Address",100,45,"True","2023-04-03 03:03:47","R_1cSarbyozcO0LFB","anonymous","EN","Yes","","","",NA,"","","","","","","","","",NA,"","","","","","","","","202304_CAA"
"25","2023-04-03 07:08:03","2023-04-03 07:09:56","IP Address",100,113,"True","2023-04-03 07:09:58","R_2alt6cUa7HNxSmf","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,Other, please describe:","Basic understanding of coding","Less than 1 year","R,Other, please describe","VB","41-50 years","Female",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"26","2023-04-03 07:26:57","2023-04-03 07:31:08","IP Address",100,250,"True","2023-04-03 07:31:10","R_24bBxya8MYme38m","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS","","No","","","41-50 years","Male",NA,"PhD","Nationality","Hungary ","Working professionally","Research","","Different, please describe:","Application would be both for university and government ","202304_CAA"
"27","2023-04-03 09:48:45","2023-04-03 09:50:55","IP Address",100,129,"True","2023-04-03 09:50:56","R_1HjULcYUz5rmzFp","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,R,Python",NA,"No","","Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:","network analysis","3-5 years","Python,R,Javascript / Typescript","","31-40 years","Female",NA,"PhD","Nationality","German","Working professionally","Research","","University","","202304_CAA"
"28","2023-04-03 08:13:47","2023-04-03 09:58:21","IP Address",100,6274,"True","2023-04-03 09:58:22","R_27CCDuKfJSitl9y","anonymous","EN","Yes","Beginner","Limited","None",NA,"No","","Word processor,Email,Spreadsheet","","No","","","51-60 years","Female",NA,"PhD","Nationality","german","Working professionally","Research","","University","","202304_CAA"
"29","2023-04-03 11:57:04","2023-04-03 12:00:52","IP Address",100,227,"True","2023-04-03 12:00:53","R_2BeBtauZPmJS7mD","anonymous","EN","Yes","Beginner","No opinion","Python",NA,"No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","3-5 years","Python","","21-30 years","Female",NA,"Master","Prefer not to share","","Student","","","","","202304_CAA"
"30","2023-04-03 13:31:45","2023-04-03 13:33:07","IP Address",100,82,"True","2023-04-03 13:33:08","R_1jMKj6FQeELcAJR","anonymous","EN","Yes","Beginner","Sufficient","NetLogo",NA,"No","","Word processor,Email,Spreadsheet,GIS,CAD","","No","","","41-50 years","Female",NA,"Master","Nationality","nl","Working professionally","Specialist","","Commercial","","202304_CAA"
"31","2023-04-03 13:31:20","2023-04-03 13:33:16","IP Address",100,116,"True","2023-04-03 13:33:17","R_ebL1oIDSG8nt8GJ","anonymous","EN","No","","","",NA,"","","Word processor,Email,Spreadsheet,GIS,3D modelling","","No","","","31-40 years","Male",NA,"Master","Prefer not to share","","Working professionally","Specialist","","Government","","202304_CAA"
"32","2023-04-03 13:33:37","2023-04-03 13:34:16","IP Address",100,38,"True","2023-04-03 13:34:16","R_26g2ar2vamLHUkQ","anonymous","EN","No","","","",NA,"","","Email,Spreadsheet,3D modelling","","No","","","21-30 years","Female",NA,"High school","Nationality","USA","Student","","","","","202304_CAA"
"33","2023-04-03 13:31:28","2023-04-03 13:37:00","IP Address",100,332,"True","2023-04-03 13:37:01","R_1o1D5f6d4f9aPzy","anonymous","EN","Yes","Beginner","No opinion","R,Python,None",NA,"No","","Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:","basic experience in linux servers (hardvare and software)","More than 5 years","Python,Java,R,Javascript / Typescript,C++,Other, please describe","Basic","41-50 years","Male",NA,"PhD","Nationality","Polish","Working professionally","Different, please describe:","Research and Education","University","","202304_CAA"
"34","2023-04-03 13:36:55","2023-04-03 13:39:49","IP Address",100,174,"True","2023-04-03 13:39:50","R_2sdW61RMaySmKaz","anonymous","EN","Yes","Beginner","Very good","Python",NA,"No","","GIS","","No","","","21-30 years","Female",NA,"Master","Nationality","Spanish","Student","","","","","202304_CAA"
"35","2023-04-03 13:38:26","2023-04-03 13:40:22","IP Address",100,116,"True","2023-04-03 13:40:22","R_2ztKqDWZ8zagp0M","anonymous","EN","Yes","Beginner","Sufficient","NetLogo,Python",NA,"No","","Word processor,Email,Spreadsheet,GIS,Programming/coding","","1-2 years","NetLogo,Python,R","","31-40 years","Female",NA,"Master","Nationality","German","Student","","","","","202304_CAA"
"36","2023-04-03 13:45:11","2023-04-03 13:46:45","IP Address",100,93,"True","2023-04-03 13:46:46","R_afqyXh5MTUtHi8h","anonymous","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS,Programming/coding","","Less than 1 year","Python","","21-30 years","Female",NA,"Master","Nationality","Dutch","Student","","","","","202304_CAA"
"37","2023-04-03 22:43:13","2023-04-03 22:46:37","IP Address",100,203,"True","2023-04-03 22:46:38","R_1zywtklfXAc7Xyh","anonymous","EN","Yes","Beginner","Limited","None",NA,"No","","Word processor,Email,Spreadsheet,GIS","","Less than 1 year","R","","21-30 years","Female",NA,"Master","Nationality","greek","Student","","","","","202304_CAA"
"38","2023-04-01 15:04:40","2023-04-01 15:05:07","IP Address",35,27,"False","2023-04-08 15:05:10","R_RFzKkrvjFMqHWLL","anonymous","EN","Yes","Beginner","Limited","NetLogo",NA,"Yes","","","","","","","","",NA,"","","","","","","","","202304_CAA"
"39","2023-04-03 13:38:32","2023-04-03 13:43:07","IP Address",88,274,"False","2023-04-10 13:43:11","R_3KCxxSUCVrRIlYf","qr","EN","Yes","Beginner","No opinion","None",NA,"No","","Word processor,Email,Spreadsheet,GIS","","Less than 1 year","R","","21-30 years","Female",NA,"Master","Nationality","Greek","Working professionally","","","","","202304_CAA"
"40","2023-08-31 17:50:17","2023-08-31 17:50:58","IP Address",100,40,"True","2023-08-31 17:50:59","R_3kzdUwZb4xd37UJ","qr","EN","No","","","","","","","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling","","No","","","21-30 years","Female",NA,"Master","Prefer not to share","","Student","",NA,"",NA,"202308_EAA"
"41","2023-08-31 17:49:50","2023-08-31 17:51:07","IP Address",100,76,"True","2023-08-31 17:51:07","R_3sBa8VcwGCkMYb9","qr","EN","Yes","Beginner","Limited","NetLogo","","No","","Word processor,Email,Spreadsheet,GIS,Programming/coding","","1-2 years","Python,Javascript / Typescript","","31-40 years","Female",NA,"PhD","Nationality","Hungarian ","Working professionally","Research",NA,"University",NA,"202308_EAA"
"42","2023-08-31 17:50:42","2023-08-31 17:51:49","IP Address",100,66,"True","2023-08-31 17:51:50","R_eXum1elfj0DBseB","qr","EN","No","","","","","","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","More than 5 years","Python,Java,R,Javascript / Typescript,C","","31-40 years","Female",NA,"Bachelor","Nationality","Swiss","Student","",NA,"",NA,"202308_EAA"
"43","2023-08-31 17:50:05","2023-08-31 17:52:54","IP Address",100,169,"True","2023-08-31 17:52:54","R_3JgQDetqWV2svGR","qr","EN","Yes","Beginner","More than sufficient","NetLogo,Python","","No","","Word processor,Email,Spreadsheet,GIS,CAD,Programming/coding,Other, please describe:","weather modeling","More than 5 years","Python,Java,Javascript / Typescript,C,C++","","Over 71 years","Male",NA,"PhD","Nationality","israel","Working professionally","Research",NA,"University",NA,"202308_EAA"
"44","2023-08-31 17:51:36","2023-08-31 17:53:09","IP Address",100,92,"True","2023-08-31 17:53:09","R_1Nm5D6FwOIRDwK4","qr","EN","Yes","Beginner","No opinion","None","","No","","Word processor,Email,Spreadsheet,Programming/coding","","More than 5 years","Python,R,C,C++","","41-50 years","Male",NA,"PhD","Nationality","British","Working professionally","Research",NA,"University",NA,"202308_EAA"
"45","2023-08-31 17:49:59","2023-08-31 17:53:11","IP Address",100,192,"True","2023-08-31 17:53:12","R_re6jtOzJzrq2k37","qr","EN","No","","","","","","","Word processor,Email,Spreadsheet,GIS,3D modelling","","No","","","41-50 years","Male",NA,"PhD","Nationality","German","Working professionally","Specialist",NA,"Government",NA,"202308_EAA"
"46","2023-08-31 17:50:34","2023-08-31 17:53:19","IP Address",100,165,"True","2023-08-31 17:53:20","R_1N7VFIAWVMBPVHv","qr","EN","Yes","","No opinion","Other:","Mageo","No","","Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:","PAO, webdesign, html, php","Less than 1 year","Other, please describe","Php","41-50 years","Male",NA,"PhD","Nationality","French","Working professionally","Research",NA,"NGO",NA,"202308_EAA"
"47","2023-08-31 17:51:35","2023-08-31 17:53:30","IP Address",100,115,"True","2023-08-31 17:53:31","R_3e3HjZqF4CCQWlg","qr","EN","No","","","","","","","Word processor,Email,GIS,3D modelling,Other, please describe:","Adobe Illustrator etc.","No","","","","Female",NA,"Master","Nationality","Austria","Student","",NA,"",NA,"202308_EAA"
"48","2023-08-31 17:52:22","2023-08-31 17:53:36","IP Address",100,73,"True","2023-08-31 17:53:36","R_3qKyA4EVcHO5Mio","qr","EN","Yes","Beginner","Limited","R","","No","","Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding","","Less than 1 year","R","","21-30 years","Female",NA,"PhD","Nationality","China","Student","",NA,"",NA,"202308_EAA"
"49","2023-08-31 17:52:29","2023-08-31 17:53:42","IP Address",100,73,"True","2023-08-31 17:53:43","R_2bI55Yhf6zoXSLk","qr","EN","Yes","Beginner","Limited","NetLogo,R,Python","","No","","Word processor,Email,GIS,CAD,3D modelling,Programming/coding","","Less than 1 year","R","","21-30 years","Female",NA,"Master","Prefer not to share","","Student","",NA,"",NA,"202308_EAA"
"50","2023-08-31 17:52:03","2023-08-31 17:54:01","IP Address",100,117,"True","2023-08-31 17:54:02","R_0D4SosR5vBxgDnz","qr","EN","No","","","","","","","Word processor,Email,GIS","","No","","","41-50 years","Male",NA,"PhD","Nationality","Slovenia","Working professionally","Specialist",NA,"Government",NA,"202308_EAA"
"51","2023-08-31 17:51:37","2023-08-31 17:54:13","IP Address",100,155,"True","2023-08-31 17:54:14","R_1qgFqeSEVa366Cx","qr","EN","Yes","Beginner","No opinion","None","","No","","Word processor,Email,Spreadsheet,Programming/coding","","More than 5 years","Python,R,C++","","41-50 years","Male",NA,"PhD","Nationality","Netherlands","Working professionally","Education",NA,"University",NA,"202308_EAA"
"52","2023-08-31 17:51:37","2023-08-31 17:54:34","IP Address",100,177,"True","2023-08-31 17:54:35","R_5BhYBrBMPpCy761","qr","EN","Yes","Beginner","More than sufficient","GAML","","Yes","For modeling spread of COVID in particular building depending on restriction","Spreadsheet,GIS,CAD","","Less than 1 year","Python,GAML,Other, please describe","Sql","21-30 years","Male",NA,"Master","Nationality","Polish ","Working professionally","Research",NA,"University",NA,"202308_EAA"
"53","2023-08-31 17:53:26","2023-08-31 17:54:43","IP Address",100,77,"True","2023-08-31 17:54:44","R_PXL7R9orhNnJlDj","qr","EN","No","","","","","","","Word processor,Email,Spreadsheet","","No","","","31-40 years","Female",NA,"Master","Nationality","Belgium","Student","",NA,"",NA,"202308_EAA"
